id; Название курса; Рейтинг; Описание; Организатор; Преподаватели
831;   «Страна оригами» — Stepik; None; Кружок «Страна оригами» разработан  для того, чтобы через различные действия с бумагой, в процессе её обработки, через применение разных способов и приемов работы с ней, учить детей эстетически осмысливать образы знакомых предметов, передавать их в изобразительной деятельности, подчеркивая красоту и колоритность внешнего облика в преобразованной форме.        ; None; Гузель Рашидовна 
832;   История России с древности до начала  XVII века — Stepik; None; Курс посвящен истории нашей страны в период  с IX до нач. XVII века.; None; Светлана Кохановская 
833;   Тестовый курс по истории Древней Руси — Stepik; None; В этом курсе представлены тестовые задания по теме Древняя Русь  в IX-XII вв.; None; Светлана Кохановская 
834;   О Британии вкратце. — Stepik; 3.5; Данный курс поможет ученикам 8-9-ых классов лучше познакомиться со страной изучаемого языка, отработать навыки самостоятельной подготовки к различным заданиям, творческому подходу к его выполнению. Курс приобщит учащихся к использованию дополнительных источников информации, поможет формировать интерес к изучению страны, а также научит работать над записями различного рода информации путем составления конспектов.; None; Ирина Александрова 
835;   Чтение — Stepik; None; 2 класс; None; Юля Миронова 
836;   Информатика — Stepik; None; Курс включает в себя  начала теоретических основ информатики ; None; Елена Тарасова 
837;   Краткий курс психологии  в вопросах и ответах — Stepik; None; Учебное пособие для неспециальных факультетовпедагогических вузов; None; Анастасия Иванникова 
838;   История России. IX-XIII вв. — Stepik; None; В данном курсе по истории Древней Руси  представлены материалы, вопросы и задания,  по темам отражающим социально- экономическое, политическое и культурное развитие Руси в IX-XIII веках.; None; Lesya Urosaeva 
840;   Курс о шитье — Stepik; None; В этом курсе вы получите основные знания о шитье; None; Виктория Пономарева 
842;   7 класс Информация и информационные процессы — Stepik; None; курс поможет освоить систему знаний по данной теме; None; Ольга Зуева 
843;   Курс о технике безопасности на уроках физической культуры — Stepik; None; В этом курсе Вы получите краткую информацию о технике безопасности на уроках физической культуры. ; None; Екатерина Мышенкова 
844;   Математика. Обыкновенные дроби — Stepik; None; Данный курс разработан для учащихся 5 класса по теме "Обыкновенные дроби"; None; Ирина Леонидова 
845;   Английский с нуля — Stepik; 2.5; Сжатый курс  для тех, кто только начинает изучать английский язык; None; Севинч Шихвердиева 
846;   Курс: Литература — Stepik; None; Тестирование по произведению Салтыкова-Щедрина "Сказ о том, как один мужик двух генералов прокормил".; None; Tatyana Smirnova 
847;   Курс: Литература — Stepik; None; Тестирование по произведению Салтыкова-Щедрина "Сказ о том, как один мужик двух генералов прокормил".; None; Tatyana Smirnova 
848;   Африка — Stepik; None; Изучение географического положения; None; Татьяна Румянцева 
849;   Курс: Имя существительное. — Stepik; None; В этом курсе раскрыть понятия имена существительного.; None; Жанна Ковальчук 
850;   English for travelling — Stepik; None; Английский для  путешественников; None; Дарья Борзова 
851;   Формулы сокращенного умножения — Stepik; None; Курс предназначен для повторения и систематизации знаний по теме "Формулы сокращенного умножения".; None; Мария Леньшина 
853;   Части речи в английском языке — Stepik; 4; В этом курсе вы получите основные знания о частях речи в английском языке.; None; Анастасия Атавина 
855;   Информатика: Системы счисления. — Stepik; None; В этом курсе вы получите основные знания по теме "Системы счисления"; None; Алексей Ермихин 
856;   Глагол — Stepik; None; В этом курсе раскрыть понятие глагола.; None; Любовь Суева 
858;   МХК — Stepik; None; Изучение русского искусства; None; Ирина Монтвила 
859;   88 — Stepik; None; 0000; None; Alexey Likhobabin 
861;   Программирования на Javascript с нуля — Stepik; None; Данный цикл уроков позволит вам изучить синтаксис Javascript, ознакомится с базовыми понятиями программирования и ознакомится с принципом работы движка Javascript; None; Thats Linux 
862;   История России XVII века. — Stepik; None; В данном курсе будут рассмотрены темы, связанные с эпохой Смуты, а также правлением первых Романовых.; None; Ольга Тузова 
865;   Хозяйство России — Stepik; None; Курс по географии предназначен для учащихся 8-9 классов общеобразовательных школ. ; None; Ирина Михайловна 
867;   Звуки и буквы русского алфавита — Stepik; None; В этом курсе вы получите основные знания о буквах и звуках русского алфавита.; None; Вера Шумилина 
868;   Курс по Инженерной графике — Stepik; 3.8; В  этом курсе Вы получите основные знания о Инженерной графике; None; Марина Немкевич 
872;   Газовые законы — Stepik; None; Этот курс позволяет студентам самостоятельно изучить газовые законы, которые не входят в программу по физике для специальности Компьютерные системы и комплексы.; None; Людмила Михайлюкова 
